anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
— Ну, сейчас эту щуку съем! 	— Ну, сейчас эту щуку съем! 	Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть, а чего нет, то они своими трудами всегда заработать могут. 	Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть. А чего нет, то они своим трудом всегда заработать могут.	1	simplicity	Russian
Царский слуга уехал, а Емеля спит себе преспокойно на печи. 	Сказал он волшебные слова и поехал в царский дворец на печи. 	В палатах видит свою старуху, За столом сидит она царицей, Служат ей бояре да дворяне, Наливают ей заморские вины; Заедает она пряником печатным; Вкруг ее стоит грозная стража, На плечах топорики держат. 	Служат ей бояре и дворяне, а вокруг неё стоит стража. 	1	simplicity	Russian
— Ну, старуха, чего мы у Лесного Деда просить будем? 	— Ну, старуха, что мы у Лесного Деда просить будем? 	Обрадовались старики, привели ее в избу. 	Обрадовались старики, привели её в дом. 	1	simplicity	Russian
Колобок полежал, полежал, взял да и покатился — с окна на лавку, с лавки на пол, по полу к двери, прыг через порог — да в сени, из сеней на крыльцо, с крыльца на двор, со двора за ворота, дальше и дальше.	Колобок лежал, лежал и вдруг покатился с окна на лавку, с лавки на пол, а потом — на улицу. 	Приглядел он хорошее деревце. 	Пришёл старик в лес, увидел хорошее деревце и хотел срубить его. 	1	simplicity	Russian
Захотел помочь ему — оживить, да не знал, как это сделать.	Понял Серый Волк, что беда случилась и прибежал, а как помочь — не знает. 	Василиса Премудрая из кубка пьет — не допивает, остатки себе за левый рукав выливает. 	Василиса Премудрая ест, а остатки себе в правый рукав кладет; пьёт, а остатки в левый рукав льёт. 	1	simplicity	Russian
Старуха сидит под окошком, На чем свет стоит мужа ругает. 	Но недовольна старуха, ещё больше старика ругает. Сидит под окном старуха и старика ругает. Во дворце за столом сидит его старуха. 	— Колобок, Колобок, спой мне песенку!	Я тебе песенку спою: Я Колобок, Колобок, Я от дедушки ушёл, Я от бабушки ушёл, От Зайца ушёл,  От Волка ушёл,  От тебя, Медведь, тоже уйду!— Никуда. — Колобок, Колобок, спой мне песенку! 	1	simplicity	Russian
будет старуха царицей!»	Пообещала золотая рыбка, что будет старуха царицей. 	Прыгнула над огнем и вдруг растаяла, обратилась в белое облачко. 	Прыгнула и Снегурочка, но вдруг стала белым облаком. 	1	simplicity	Russian
Вот пошел он к синему морю, (Помутилося синее море.) 	Вот пошёл старик к синему морю. 	Если бы ты еще три дня подождал, я бы вечно твоею была. 	Если бы ты еще три дня подождал, я бы всегда твоей была, а теперь прощай, ищи меня у Кощея Бессмертного.	1	simplicity	Russian
И хорошо живут, счастливо!	Хорошо и счастливо живут! 	Как махнули своими левыми рукавами — всех гостей забрызгали; как махнули правыми — костями-огрызками осыпали, самому царю костью чуть глаз не выбили. 	Как махнули своими руками — всех гостей и царя испачкали. 	1	simplicity	Russian
— Не тужи, Иван-царевич! 	— Не грусти, Иван-царевич! 	— Потом обогнал меня другой всадник на красном коне, сам красный и весь в красном одет; это кто такой?	Там она стала шить красивые рубашки. 	1	simplicity	Russian
Осердилася пуще старуха, По щеке ударила мужа. 	Но старуха ещё больше рассердилась, ударила мужа и приказала идти к морю. 	Старичок отправился к морю, (Почернело синее море.) 	Видит, почернело синее море. 	1	simplicity	Russian
Сжалился Иван-царевич над щукой, бросил ее в море, а сам пошел берегом за своим клубочком.	Бросил он её в море, а сам дальше пошёл. 	На него прикрикнула старуха, На конюшне служить его послала.	На него крикнула старуха и послала работать на конюшню. 	1	simplicity	Russian
