anchor1	anchor2	alternative1	alternative2
Oženim te. Na vse to mi je oče še razodel, da se je z Jeremijem Wulffingom že dogovoril, in sicer zaradi hčere Margarete, katero je imel iz drugega svojega zakona.	Rekel je tudi, da mi je izbral nevesto. Ime ji je Margareta in živi v sosednjem kraju. Margareta je hči Jeremije Vulfinga.	V teh dneh je oče z mano govoril več kakor navadno ter mi dajal nauke za prihodnost.	Oče mi je dal veliko nasvetov za prihodnost.
"""Bandit!"""	Bandit.	Kavalir opravlja prevoze na klic ali pa jih ljudje preprosto ustavijo na vožnji in prisedejo.	Kavalirja pokličemo ali pa ga ustavimo in vstopimo.
Tantantadruj je glasno zajokal, a je vseeno vstal in možje so ga potegnili iz jame.	Potegnili so ga iz jame.	Brž je vzel konja v roke, Liska, Sivca, jima navil kolesca in preizkusil, kako znata tekati. Postavil je konja na tla in ju tam preizkušal.	Na skrivaj je poskusil, kateri konjiček je hitrejši.
Ozrl se je najprej na punčko, ki jo je Breda držala v naročju, potem na tiste rože pri oknu. Zaklel je glasno, se pognal proti zdravniku, ga zagrabil za vrat in zvlekel skozi vrata na dvorišče. Potem je planil nazaj v kuhinjo, iztrgal Bredi punčko iz naročja in jo treščil po tleh. Videla je, kako so odletele nogice proti peči in glavica v kot, potem pa nenadoma ni videla ničesar več.	Zaklel je in vrgel zdravnika na cesto,  punčko pa raztrgal.	Lidin gospodar je bil premožen človek in velik dobričnež, zaradi česa je bil priljubljen po vsej vasi.	Kmet, pri katerem je Lida živela, je bil dober človek. Vsi so ga imeli radi. Bil je bogat.
Mesec dni je ležala v postelji in tresel jo je mraz.	Breda je dobila vročino. 1 mesec je ležala v postelji.	Ko smo nekoč večerjali, je stopil v hišo človek, dolg Marks Wulffing kakor hrast.	Obiskal nas je Marks.
Na starem gradu je iznad kupa starega zidovja, poraščenega z ostrogovno, srebotovino in drugim grmovjem, molel edino še nekdanji grajski stolp kvišku, ki je ponosno kljuboval stoletnim viharjem in nevihtam.	Grad je razpadel, ostale so ruševine in kamenje. Ostal je tudi star stolp.	Ko se je znočilo, so stopili v sobo Luka, Furlan Rusepatacis in Matic Enaka Palica. Prišli so po Tantantadruja, da bi se skupaj odpravili k Hotejcu spat.	Zvečer so po Tantadruja prišli njegovi prijatelji Rusepatacis, Luka in Enaka Palica. Nameravali so iti spat k Hotejcu.
Mati Žirovka mimo prišedši pa je tudi zagodla: Le ga!	Tudi Matevževa žena je rekla: Daj ga!	Lida je zagledala vrsto oblek najrazličnejših barv. Gospa ji je izbrala svetlosinjo obleko in ji pripravila kup svilenega spodnjega perila.	Gospa ji je pripravila lepe obleke.
"Ko smo se tako pretepavali, je stal naenkrat pred nami majhen možiček ter tolkel z drobno španjolsko paličico ob tlak: ""Tu se tepo — gvardija!"" Bil je baron Mändl, tedanji grajski glavar, in lahko zapišem, da se ga je bala vsa Loka."	Pretep je videl pomemben človek, ki je živel na gradu. Vsi so se ga bali.	Učiteljica je prišla potem samo včasih in ni hotela prinesti pravljic s seboj, da bi jih brala.	Učiteljica ni hotela več brati pravljic.
Pri tridesetih letih pa je nenadoma postala noseča in rodila sina.	Terba je rodila sina. Stara je bila 30 let.	»Če te kaj notri boli, potem vzemi zdaj pa zdaj šop trave v usta in žveči.	Ena je rekla: Pojej malo trave in te ne bo več bolelo.
Poskusiti jo je hotel na Tomažkovi koži.	Z njo je hotel tepsti Tomažka.	"""Tantantadruj, jama je tam!"" je veselo vzdihnil norček."	Tantadruj se je razveselil.
Medicinska sestra Ruta je vodila Bredo po širokem vrtu in ji prigovarjala, naj se ne boji, naj se samo nasmeje.	Breda je srečala medicinsko sestro,  ki ji je bilo ime Ruta.	Nesrečniki so se stisnili v lopo pokopališke cerkvice, da bi se v zatišju oddahnili, preden jo mahnejo čez odprta polja k Hotejcu.	Prišli so do pokopališča.
Potem so vojaki z Vestrom krenili proti grajskemu stolpu in vstopili v njegovo dno.	Pripeljali so ga v stolp.	Nato je Peregin stopil k Tantantadruju in ga prosil, naj mu posodi zvonce.	Peregrin si je od Tantadruja sposodil zvonce.
Ko je gledala ljudi se je zavedala, da je bil stari tako prijazen, tukaj pa ne moreš spoznati, ali je kak človek prijazen ali ne.	Gledala je ljudi in ni mogla vedeti, kateri je prijazen in kateri ne.	S klančino je vlakec dostopen tudi osebam na invalidskih vozičkih.	Z Urbanom se lahko peljejo ljudje na vozičkih.
Kakor sapa je bil pri starem grešniku, ga podrl na tla ter ga po vseh pravilih poštenih pretepov do dobrega premlatil.	Skočil je k Matevžu in ga podrl na tla. Korel je Matevža pretepel in odšel.	Potem jo je zgrabil za roko in za lase in jo vlačil po kuhinji iz kota v kot.	Za lase jo je vlačil po kuhinji.
"Pater Lorenz odgovori: ""Pomagam ti samo zato, ker upam, da zveza vajina spremeni v prijaznost sovraštvo staro vajinih očetov."""	Pater Lorenz mu pomaga. Meni, da bi lahko njuna poroka pobotala sprti družini.	Rusepatacis je šel v hlev, kjer je imel svoj brlog, a ni povezal cule, temveč je poiskal sekiro in začel pobijati krave in konje.	Rusepatacis je vzel sekiro in šel v hlev. Ubijati je začel krave in konje.
Govoril je, kakor bi rožice sadil, in najrajši v rimah, ki jih je kar stresal iz rokava.	Najrajši je govoril tako, da se je rimalo.	"""Tantantadruj, kako je toplo!"" je srečno vzkliknilo iz teme."	Iz jame je srečno rekel: Kako je toplo.
Mladi ljudje, ki so v krogu stali okrog nesrečnikov, so se zakrohotali.	Drugim ljudem so se zdeli smešni. Smejali so se jim.	Romeo pravi, da ne bo skakal, da je v njem noč.	Romeo je žalosten.
V najboljšem premišljevanju, kako si hočem kupiti ponosno orožje, je pograbila železna pest mojo roko, v kateri sem stiskal beneški denar.	Cekin sem pobral, ravno takrat pa se je oče vrnil v klet.	Polna divje nestrpnoti je začela razbijati po zaprtih vratih.	Udarjala je po vratih.
Grofica odgovori: Z livad veronskih je Paris najlepša roža.	Hvali ga.	To pomlad sta se dosti pogovarjala o tem, kako se ljubijo starejši ljudje, zlasti fantje in dekleta.	Pogovarjala sta se o tem, kako se ljubijo odrasli ljudje.
Gmajna je odmevala po cele dneve od njenih pesmi, ki jih je znala dolgo vrsto.	Rada je prepevala.	Osebna asistenca, plačilo katere je v Sloveniji urejeno na podlagi zakona neposredno iz državnega proračuna, osebam z oviranostmi omogoča neodvisno in aktivno življenje.	Ljudje s posebnimi potrebami lahko dobijo osebnega asistenta. Asistenta plača država. Z asistentom lahko ljudje živijo samostojno.
